At time 0.29: Service-1 Finished, Queue 1 Length: 1000, Queue 2 Length: 0
At time 1108.28: Arrival, Queue 1 Length: 2229, Queue 2 Length: 50
At time 1108.39: Service-2 Finished, Queue 1 Length: 2230, Queue 2 Length: 50
At time 1108.43: Arrival, Queue 1 Length: 2230, Queue 2 Length: 49
At time 1108.80: Service-2 Finished, Queue 1 Length: 2231, Queue 2 Length: 49
At time 1108.82: Service-1 Finished, Queue 1 Length: 2231, Queue 2 Length: 48
At time 1108.95: Service-1 Finished, Queue 1 Length: 2230, Queue 2 Length: 49
At time 1109.10: Arrival, Queue 1 Length: 2229, Queue 2 Length: 50
At time 1109.15: Service-1 Finished, Queue 1 Length: 2230, Queue 2 Length: 50
At time 1109.20: Arrival, Queue 1 Length: 2229, Queue 2 Length: 51
At time 1109.20: Arrival, Queue 1 Length: 2230, Queue 2 Length: 51
At time 1109.20: Service-1 Finished, Queue 1 Length: 2231, Queue 2 Length: 51
At time 1109.35: Arrival, Queue 1 Length: 2230, Queue 2 Length: 52
At time 1109.45: Arrival, Queue 1 Length: 2231, Queue 2 Length: 52
At time 1109.45: Service-2 Finished, Queue 1 Length: 2232, Queue 2 Length: 52
At time 1109.48: Arrival, Queue 1 Length: 2232, Queue 2 Length: 51
At time 1109.50: Service-1 Finished, Queue 1 Length: 2233, Queue 2 Length: 51
At time 1109.55: Service-2 Finished, Queue 1 Length: 2232, Queue 2 Length: 52
At time 1109.58: Arrival, Queue 1 Length: 2232, Queue 2 Length: 51
At time 1109.61: Arrival, Queue 1 Length: 2233, Queue 2 Length: 51
At time 1109.67: Arrival, Queue 1 Length: 2234, Queue 2 Length: 51
At time 1109.69: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 51
At time 1109.71: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 50
At time 1109.78: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 49
At time 1109.84: Service-1 Finished, Queue 1 Length: 2235, Queue 2 Length: 48
At time 1109.98: Arrival, Queue 1 Length: 2234, Queue 2 Length: 49
At time 1110.00: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 49
At time 1110.13: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 48
At time 1110.13: Service-1 Finished, Queue 1 Length: 2235, Queue 2 Length: 47
At time 1110.16: Arrival, Queue 1 Length: 2234, Queue 2 Length: 48
At time 1110.24: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 48
At time 1110.31: Arrival, Queue 1 Length: 2235, Queue 2 Length: 47
At time 1110.44: Arrival, Queue 1 Length: 2236, Queue 2 Length: 47
At time 1110.48: Arrival, Queue 1 Length: 2237, Queue 2 Length: 47
At time 1110.53: Service-1 Finished, Queue 1 Length: 2238, Queue 2 Length: 47
At time 1110.55: Service-2 Finished, Queue 1 Length: 2237, Queue 2 Length: 48
At time 1110.60: Service-1 Finished, Queue 1 Length: 2237, Queue 2 Length: 47
At time 1110.64: Arrival, Queue 1 Length: 2236, Queue 2 Length: 48
At time 1110.76: Arrival, Queue 1 Length: 2237, Queue 2 Length: 48
At time 1110.78: Arrival, Queue 1 Length: 2238, Queue 2 Length: 48
At time 1110.94: Arrival, Queue 1 Length: 2239, Queue 2 Length: 48
At time 1111.00: Arrival, Queue 1 Length: 2240, Queue 2 Length: 48
At time 1111.06: Service-1 Finished, Queue 1 Length: 2241, Queue 2 Length: 48
At time 1111.15: Service-2 Finished, Queue 1 Length: 2240, Queue 2 Length: 49
At time 1111.37: Service-2 Finished, Queue 1 Length: 2240, Queue 2 Length: 48
At time 1111.39: Service-2 Finished, Queue 1 Length: 2240, Queue 2 Length: 47
At time 1111.45: Service-2 Finished, Queue 1 Length: 2240, Queue 2 Length: 46
At time 1111.49: Service-2 Finished, Queue 1 Length: 2240, Queue 2 Length: 45
At time 1111.51: Arrival, Queue 1 Length: 2240, Queue 2 Length: 44
At time 1111.74: Arrival, Queue 1 Length: 2241, Queue 2 Length: 44
At time 1111.84: Arrival, Queue 1 Length: 2242, Queue 2 Length: 44
At time 1111.90: Arrival, Queue 1 Length: 2243, Queue 2 Length: 44
At time 1112.10: Service-1 Finished, Queue 1 Length: 2244, Queue 2 Length: 44
At time 1112.17: Arrival, Queue 1 Length: 2243, Queue 2 Length: 45
At time 1112.20: Arrival, Queue 1 Length: 2244, Queue 2 Length: 45
At time 1112.20: Arrival, Queue 1 Length: 2245, Queue 2 Length: 45
At time 1112.26: Service-1 Finished, Queue 1 Length: 2246, Queue 2 Length: 45
At time 1112.27: Service-2 Finished, Queue 1 Length: 2245, Queue 2 Length: 46
At time 1112.33: Service-1 Finished, Queue 1 Length: 2245, Queue 2 Length: 45
At time 1112.43: Service-1 Finished, Queue 1 Length: 2244, Queue 2 Length: 46
At time 1112.45: Service-1 Finished, Queue 1 Length: 2243, Queue 2 Length: 47
At time 1112.50: Arrival, Queue 1 Length: 2242, Queue 2 Length: 48
At time 1112.62: Service-1 Finished, Queue 1 Length: 2243, Queue 2 Length: 48
At time 1112.67: Service-2 Finished, Queue 1 Length: 2242, Queue 2 Length: 49
At time 1112.77: Service-1 Finished, Queue 1 Length: 2242, Queue 2 Length: 48
At time 1112.77: Arrival, Queue 1 Length: 2241, Queue 2 Length: 49
At time 1113.15: Service-2 Finished, Queue 1 Length: 2242, Queue 2 Length: 49
At time 1113.21: Arrival, Queue 1 Length: 2242, Queue 2 Length: 48
At time 1113.37: Service-1 Finished, Queue 1 Length: 2243, Queue 2 Length: 48
At time 1113.38: Service-1 Finished, Queue 1 Length: 2242, Queue 2 Length: 49
At time 1113.54: Service-1 Finished, Queue 1 Length: 2241, Queue 2 Length: 50
At time 1113.62: Arrival, Queue 1 Length: 2240, Queue 2 Length: 51
At time 1113.71: Service-1 Finished, Queue 1 Length: 2241, Queue 2 Length: 51
At time 1113.74: Service-1 Finished, Queue 1 Length: 2240, Queue 2 Length: 52
At time 1113.83: Service-1 Finished, Queue 1 Length: 2239, Queue 2 Length: 53
At time 1113.86: Arrival, Queue 1 Length: 2238, Queue 2 Length: 54
At time 1113.87: Service-1 Finished, Queue 1 Length: 2239, Queue 2 Length: 54
At time 1113.89: Arrival, Queue 1 Length: 2238, Queue 2 Length: 55
At time 1113.92: Service-1 Finished, Queue 1 Length: 2239, Queue 2 Length: 55
At time 1113.97: Service-2 Finished, Queue 1 Length: 2238, Queue 2 Length: 56
At time 1114.14: Service-1 Finished, Queue 1 Length: 2238, Queue 2 Length: 55
At time 1114.20: Arrival, Queue 1 Length: 2237, Queue 2 Length: 56
At time 1114.24: Arrival, Queue 1 Length: 2238, Queue 2 Length: 56
At time 1114.90: Service-2 Finished, Queue 1 Length: 2239, Queue 2 Length: 56
At time 1114.94: Service-2 Finished, Queue 1 Length: 2239, Queue 2 Length: 55
At time 1115.02: Arrival, Queue 1 Length: 2239, Queue 2 Length: 54
At time 1115.05: Service-1 Finished, Queue 1 Length: 2240, Queue 2 Length: 54
At time 1115.34: Arrival, Queue 1 Length: 2239, Queue 2 Length: 55
At time 1115.37: Arrival, Queue 1 Length: 2240, Queue 2 Length: 55
At time 1115.42: Service-2 Finished, Queue 1 Length: 2241, Queue 2 Length: 55
At time 1115.45: Service-1 Finished, Queue 1 Length: 2241, Queue 2 Length: 54
At time 1115.47: Service-1 Finished, Queue 1 Length: 2240, Queue 2 Length: 55
At time 1115.50: Service-2 Finished, Queue 1 Length: 2239, Queue 2 Length: 56
At time 1115.57: Service-2 Finished, Queue 1 Length: 2239, Queue 2 Length: 55
At time 1115.66: Service-2 Finished, Queue 1 Length: 2239, Queue 2 Length: 54
At time 1115.69: Arrival, Queue 1 Length: 2239, Queue 2 Length: 53
At time 1115.78: Arrival, Queue 1 Length: 2240, Queue 2 Length: 53
At time 1115.83: Arrival, Queue 1 Length: 2241, Queue 2 Length: 53
At time 1115.89: Service-1 Finished, Queue 1 Length: 2242, Queue 2 Length: 53
At time 1116.00: Arrival, Queue 1 Length: 2241, Queue 2 Length: 54
At time 1116.16: Service-2 Finished, Queue 1 Length: 2242, Queue 2 Length: 54
At time 1116.20: Arrival, Queue 1 Length: 2242, Queue 2 Length: 53
At time 1116.25: Service-1 Finished, Queue 1 Length: 2243, Queue 2 Length: 53
At time 1116.51: Service-2 Finished, Queue 1 Length: 2242, Queue 2 Length: 54
At time 1116.56: Arrival, Queue 1 Length: 2242, Queue 2 Length: 53
At time 1116.60: Service-1 Finished, Queue 1 Length: 2243, Queue 2 Length: 53
At time 1116.62: Service-2 Finished, Queue 1 Length: 2242, Queue 2 Length: 54
At time 1116.90: Service-1 Finished, Queue 1 Length: 2242, Queue 2 Length: 53
At time 1116.91: Service-1 Finished, Queue 1 Length: 2241, Queue 2 Length: 54
At time 1117.04: Service-2 Finished, Queue 1 Length: 2240, Queue 2 Length: 55
At time 1117.07: Arrival, Queue 1 Length: 2240, Queue 2 Length: 54
At time 1117.19: Service-2 Finished, Queue 1 Length: 2241, Queue 2 Length: 54
At time 1117.50: Service-2 Finished, Queue 1 Length: 2241, Queue 2 Length: 53
At time 1117.68: Service-1 Finished, Queue 1 Length: 2241, Queue 2 Length: 52
At time 1117.71: Arrival, Queue 1 Length: 2240, Queue 2 Length: 53
At time 1117.76: Arrival, Queue 1 Length: 2241, Queue 2 Length: 53
At time 1117.76: Service-1 Finished, Queue 1 Length: 2242, Queue 2 Length: 53
At time 1117.86: Arrival, Queue 1 Length: 2241, Queue 2 Length: 54
At time 1117.96: Service-1 Finished, Queue 1 Length: 2242, Queue 2 Length: 54
At time 1118.16: Service-1 Finished, Queue 1 Length: 2241, Queue 2 Length: 55
At time 1118.31: Service-2 Finished, Queue 1 Length: 2240, Queue 2 Length: 56
At time 1118.66: Arrival, Queue 1 Length: 2240, Queue 2 Length: 55
At time 1118.70: Arrival, Queue 1 Length: 2241, Queue 2 Length: 55
At time 1118.73: Service-2 Finished, Queue 1 Length: 2242, Queue 2 Length: 55
At time 1118.76: Arrival, Queue 1 Length: 2242, Queue 2 Length: 54
At time 1118.79: Arrival, Queue 1 Length: 2243, Queue 2 Length: 54
At time 1118.81: Service-1 Finished, Queue 1 Length: 2244, Queue 2 Length: 54
At time 1118.83: Service-2 Finished, Queue 1 Length: 2243, Queue 2 Length: 55
At time 1118.87: Service-1 Finished, Queue 1 Length: 2243, Queue 2 Length: 54
At time 1119.16: Service-1 Finished, Queue 1 Length: 2242, Queue 2 Length: 55
At time 1119.21: Arrival, Queue 1 Length: 2241, Queue 2 Length: 56
At time 1119.29: Service-1 Finished, Queue 1 Length: 2242, Queue 2 Length: 56
At time 1119.45: Service-2 Finished, Queue 1 Length: 2241, Queue 2 Length: 57
At time 1119.45: Service-2 Finished, Queue 1 Length: 2241, Queue 2 Length: 56
At time 1119.54: Service-2 Finished, Queue 1 Length: 2241, Queue 2 Length: 55
At time 1119.55: Service-2 Finished, Queue 1 Length: 2241, Queue 2 Length: 54
At time 1119.56: Service-2 Finished, Queue 1 Length: 2241, Queue 2 Length: 53
At time 1119.57: Arrival, Queue 1 Length: 2241, Queue 2 Length: 52
At time 1119.58: Service-1 Finished, Queue 1 Length: 2242, Queue 2 Length: 52
At time 1119.62: Arrival, Queue 1 Length: 2241, Queue 2 Length: 53
At time 1119.63: Arrival, Queue 1 Length: 2242, Queue 2 Length: 53
At time 1119.66: Service-1 Finished, Queue 1 Length: 2243, Queue 2 Length: 53
At time 1119.67: Service-2 Finished, Queue 1 Length: 2242, Queue 2 Length: 54
At time 1119.77: Service-2 Finished, Queue 1 Length: 2242, Queue 2 Length: 53
At time 1120.02: Arrival, Queue 1 Length: 2242, Queue 2 Length: 52
At time 1120.03: Service-1 Finished, Queue 1 Length: 2243, Queue 2 Length: 52
At time 1120.29: Arrival, Queue 1 Length: 2242, Queue 2 Length: 53
At time 1120.34: Service-2 Finished, Queue 1 Length: 2243, Queue 2 Length: 53
At time 1120.44: Service-2 Finished, Queue 1 Length: 2243, Queue 2 Length: 52
At time 1120.45: Service-1 Finished, Queue 1 Length: 2243, Queue 2 Length: 51
At time 1120.55: Service-1 Finished, Queue 1 Length: 2242, Queue 2 Length: 52
At time 1120.71: Arrival, Queue 1 Length: 2241, Queue 2 Length: 53
At time 1120.80: Service-2 Finished, Queue 1 Length: 2242, Queue 2 Length: 53
At time 1120.80: Arrival, Queue 1 Length: 2242, Queue 2 Length: 52
At time 1120.83: Arrival, Queue 1 Length: 2243, Queue 2 Length: 52
At time 1120.92: Service-1 Finished, Queue 1 Length: 2244, Queue 2 Length: 52
At time 1120.99: Arrival, Queue 1 Length: 2243, Queue 2 Length: 53
At time 1121.00: Service-1 Finished, Queue 1 Length: 2244, Queue 2 Length: 53
At time 1121.07: Service-2 Finished, Queue 1 Length: 2243, Queue 2 Length: 54
At time 1121.07: Arrival, Queue 1 Length: 2243, Queue 2 Length: 53
At time 1121.08: Service-2 Finished, Queue 1 Length: 2244, Queue 2 Length: 53
At time 1121.09: Service-1 Finished, Queue 1 Length: 2244, Queue 2 Length: 52
At time 1121.13: Arrival, Queue 1 Length: 2243, Queue 2 Length: 53
At time 1121.16: Arrival, Queue 1 Length: 2244, Queue 2 Length: 53
At time 1121.41: Service-1 Finished, Queue 1 Length: 2245, Queue 2 Length: 53
At time 1121.78: Service-1 Finished, Queue 1 Length: 2244, Queue 2 Length: 54
At time 1121.90: Arrival, Queue 1 Length: 2243, Queue 2 Length: 55
At time 1121.99: Arrival, Queue 1 Length: 2244, Queue 2 Length: 55
At time 1122.01: Service-1 Finished, Queue 1 Length: 2245, Queue 2 Length: 55
At time 1122.07: Service-1 Finished, Queue 1 Length: 2244, Queue 2 Length: 56
At time 1122.08: Service-1 Finished, Queue 1 Length: 2243, Queue 2 Length: 57
At time 1122.11: Service-2 Finished, Queue 1 Length: 2242, Queue 2 Length: 58
At time 1122.15: Service-1 Finished, Queue 1 Length: 2242, Queue 2 Length: 57
At time 1122.24: Arrival, Queue 1 Length: 2241, Queue 2 Length: 58
At time 1122.43: Arrival, Queue 1 Length: 2242, Queue 2 Length: 58
At time 1122.45: Service-2 Finished, Queue 1 Length: 2243, Queue 2 Length: 58
At time 1122.49: Service-1 Finished, Queue 1 Length: 2243, Queue 2 Length: 57
At time 1122.55: Service-2 Finished, Queue 1 Length: 2242, Queue 2 Length: 58
At time 1122.59: Service-1 Finished, Queue 1 Length: 2242, Queue 2 Length: 57
At time 1122.66: Service-2 Finished, Queue 1 Length: 2241, Queue 2 Length: 58
At time 1122.69: Service-2 Finished, Queue 1 Length: 2241, Queue 2 Length: 57
At time 1122.80: Service-2 Finished, Queue 1 Length: 2241, Queue 2 Length: 56
At time 1122.86: Arrival, Queue 1 Length: 2241, Queue 2 Length: 55
At time 1122.90: Service-1 Finished, Queue 1 Length: 2242, Queue 2 Length: 55
At time 1122.91: Service-1 Finished, Queue 1 Length: 2241, Queue 2 Length: 56
At time 1123.02: Service-1 Finished, Queue 1 Length: 2240, Queue 2 Length: 57
At time 1123.13: Service-1 Finished, Queue 1 Length: 2239, Queue 2 Length: 58
At time 1123.24: Service-1 Finished, Queue 1 Length: 2238, Queue 2 Length: 59
At time 1123.26: Service-2 Finished, Queue 1 Length: 2237, Queue 2 Length: 60
At time 1123.29: Arrival, Queue 1 Length: 2237, Queue 2 Length: 59
At time 1123.30: Service-2 Finished, Queue 1 Length: 2238, Queue 2 Length: 59
At time 1123.34: Service-1 Finished, Queue 1 Length: 2238, Queue 2 Length: 58
At time 1123.39: Service-1 Finished, Queue 1 Length: 2237, Queue 2 Length: 59
At time 1123.48: Service-1 Finished, Queue 1 Length: 2236, Queue 2 Length: 60
At time 1123.53: Service-1 Finished, Queue 1 Length: 2235, Queue 2 Length: 61
At time 1123.53: Arrival, Queue 1 Length: 2234, Queue 2 Length: 62
At time 1123.56: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 62
At time 1123.68: Service-1 Finished, Queue 1 Length: 2235, Queue 2 Length: 61
At time 1123.96: Service-2 Finished, Queue 1 Length: 2234, Queue 2 Length: 62
At time 1124.00: Arrival, Queue 1 Length: 2234, Queue 2 Length: 61
At time 1124.05: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 61
At time 1124.16: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 60
At time 1124.32: Service-1 Finished, Queue 1 Length: 2235, Queue 2 Length: 59
At time 1124.33: Arrival, Queue 1 Length: 2234, Queue 2 Length: 60
At time 1124.43: Arrival, Queue 1 Length: 2235, Queue 2 Length: 60
At time 1124.55: Service-2 Finished, Queue 1 Length: 2236, Queue 2 Length: 60
At time 1124.62: Service-2 Finished, Queue 1 Length: 2236, Queue 2 Length: 59
At time 1124.70: Arrival, Queue 1 Length: 2236, Queue 2 Length: 58
At time 1124.71: Service-1 Finished, Queue 1 Length: 2237, Queue 2 Length: 58
At time 1124.76: Service-1 Finished, Queue 1 Length: 2236, Queue 2 Length: 59
At time 1124.78: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 60
At time 1124.84: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 59
At time 1124.94: Service-1 Finished, Queue 1 Length: 2235, Queue 2 Length: 58
At time 1125.11: Service-1 Finished, Queue 1 Length: 2234, Queue 2 Length: 59
At time 1125.23: Service-2 Finished, Queue 1 Length: 2233, Queue 2 Length: 60
At time 1125.36: Service-1 Finished, Queue 1 Length: 2233, Queue 2 Length: 59
At time 1125.48: Service-2 Finished, Queue 1 Length: 2232, Queue 2 Length: 60
At time 1125.73: Service-2 Finished, Queue 1 Length: 2232, Queue 2 Length: 59
At time 1125.85: Arrival, Queue 1 Length: 2232, Queue 2 Length: 58
At time 1126.03: Service-1 Finished, Queue 1 Length: 2233, Queue 2 Length: 58
At time 1126.04: Service-2 Finished, Queue 1 Length: 2232, Queue 2 Length: 59
At time 1126.16: Service-1 Finished, Queue 1 Length: 2232, Queue 2 Length: 58
At time 1126.16: Service-2 Finished, Queue 1 Length: 2231, Queue 2 Length: 59
At time 1126.25: Arrival, Queue 1 Length: 2231, Queue 2 Length: 58
At time 1126.39: Service-2 Finished, Queue 1 Length: 2232, Queue 2 Length: 58
At time 1126.69: Arrival, Queue 1 Length: 2232, Queue 2 Length: 57
At time 1126.89: Service-2 Finished, Queue 1 Length: 2233, Queue 2 Length: 57
At time 1126.92: Service-2 Finished, Queue 1 Length: 2233, Queue 2 Length: 56
At time 1126.93: Service-1 Finished, Queue 1 Length: 2233, Queue 2 Length: 55
At time 1126.96: Service-1 Finished, Queue 1 Length: 2232, Queue 2 Length: 56
At time 1127.17: Service-1 Finished, Queue 1 Length: 2231, Queue 2 Length: 57
At time 1127.26: Service-2 Finished, Queue 1 Length: 2230, Queue 2 Length: 58
At time 1127.46: Service-2 Finished, Queue 1 Length: 2230, Queue 2 Length: 57
At time 1127.46: Arrival, Queue 1 Length: 2230, Queue 2 Length: 56
At time 1127.47: Arrival, Queue 1 Length: 2231, Queue 2 Length: 56
At time 1127.50: Arrival, Queue 1 Length: 2232, Queue 2 Length: 56
At time 1127.55: Arrival, Queue 1 Length: 2233, Queue 2 Length: 56
At time 1127.62: Service-2 Finished, Queue 1 Length: 2234, Queue 2 Length: 56
At time 1127.64: Arrival, Queue 1 Length: 2234, Queue 2 Length: 55
At time 1127.66: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 55
At time 1127.75: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 54
At time 1127.80: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 53
At time 1127.82: Service-1 Finished, Queue 1 Length: 2235, Queue 2 Length: 52
At time 1127.90: Service-1 Finished, Queue 1 Length: 2234, Queue 2 Length: 53
At time 1127.95: Arrival, Queue 1 Length: 2233, Queue 2 Length: 54
At time 1128.00: Arrival, Queue 1 Length: 2234, Queue 2 Length: 54
At time 1128.03: Arrival, Queue 1 Length: 2235, Queue 2 Length: 54
At time 1128.07: Arrival, Queue 1 Length: 2236, Queue 2 Length: 54
At time 1128.11: Service-1 Finished, Queue 1 Length: 2237, Queue 2 Length: 54
At time 1128.15: Arrival, Queue 1 Length: 2236, Queue 2 Length: 55
At time 1128.15: Service-2 Finished, Queue 1 Length: 2237, Queue 2 Length: 55
At time 1128.39: Arrival, Queue 1 Length: 2237, Queue 2 Length: 54
At time 1128.46: Arrival, Queue 1 Length: 2238, Queue 2 Length: 54
At time 1128.49: Service-1 Finished, Queue 1 Length: 2239, Queue 2 Length: 54
At time 1128.66: Service-2 Finished, Queue 1 Length: 2238, Queue 2 Length: 55
At time 1128.73: Service-1 Finished, Queue 1 Length: 2238, Queue 2 Length: 54
At time 1128.89: Service-2 Finished, Queue 1 Length: 2237, Queue 2 Length: 55
At time 1128.91: Service-2 Finished, Queue 1 Length: 2237, Queue 2 Length: 54
At time 1129.07: Service-2 Finished, Queue 1 Length: 2237, Queue 2 Length: 53
At time 1129.13: Service-1 Finished, Queue 1 Length: 2237, Queue 2 Length: 52
At time 1129.20: Arrival, Queue 1 Length: 2236, Queue 2 Length: 53
At time 1129.21: Service-1 Finished, Queue 1 Length: 2237, Queue 2 Length: 53
At time 1129.21: Service-1 Finished, Queue 1 Length: 2236, Queue 2 Length: 54
At time 1129.39: Arrival, Queue 1 Length: 2235, Queue 2 Length: 55
At time 1129.53: Arrival, Queue 1 Length: 2236, Queue 2 Length: 55
At time 1129.63: Service-2 Finished, Queue 1 Length: 2237, Queue 2 Length: 55
At time 1129.65: Arrival, Queue 1 Length: 2237, Queue 2 Length: 54
At time 1129.66: Service-1 Finished, Queue 1 Length: 2238, Queue 2 Length: 54
At time 1129.69: Arrival, Queue 1 Length: 2237, Queue 2 Length: 55
At time 1129.75: Service-2 Finished, Queue 1 Length: 2238, Queue 2 Length: 55
At time 1129.82: Service-2 Finished, Queue 1 Length: 2238, Queue 2 Length: 54
At time 1129.86: Arrival, Queue 1 Length: 2238, Queue 2 Length: 53
At time 1129.94: Service-2 Finished, Queue 1 Length: 2239, Queue 2 Length: 53
At time 1129.99: Service-1 Finished, Queue 1 Length: 2239, Queue 2 Length: 52
At time 1130.02: Arrival, Queue 1 Length: 2238, Queue 2 Length: 53
At time 1130.08: Service-1 Finished, Queue 1 Length: 2239, Queue 2 Length: 53
At time 1130.15: Arrival, Queue 1 Length: 2238, Queue 2 Length: 54
At time 1130.19: Arrival, Queue 1 Length: 2239, Queue 2 Length: 54
At time 1130.23: Service-1 Finished, Queue 1 Length: 2240, Queue 2 Length: 54
At time 1130.50: Service-1 Finished, Queue 1 Length: 2239, Queue 2 Length: 55
At time 1130.53: Service-1 Finished, Queue 1 Length: 2238, Queue 2 Length: 56
At time 1130.53: Service-2 Finished, Queue 1 Length: 2237, Queue 2 Length: 57
At time 1130.61: Service-2 Finished, Queue 1 Length: 2237, Queue 2 Length: 56
At time 1130.69: Service-1 Finished, Queue 1 Length: 2237, Queue 2 Length: 55
At time 1130.76: Service-2 Finished, Queue 1 Length: 2236, Queue 2 Length: 56
At time 1130.81: Service-2 Finished, Queue 1 Length: 2236, Queue 2 Length: 55
At time 1130.87: Service-2 Finished, Queue 1 Length: 2236, Queue 2 Length: 54
At time 1130.89: Arrival, Queue 1 Length: 2236, Queue 2 Length: 53
At time 1130.95: Arrival, Queue 1 Length: 2237, Queue 2 Length: 53
At time 1131.01: Service-1 Finished, Queue 1 Length: 2238, Queue 2 Length: 53
At time 1131.02: Service-1 Finished, Queue 1 Length: 2237, Queue 2 Length: 54
At time 1131.07: Service-1 Finished, Queue 1 Length: 2236, Queue 2 Length: 55
At time 1131.36: Arrival, Queue 1 Length: 2235, Queue 2 Length: 56
At time 1131.48: Service-1 Finished, Queue 1 Length: 2236, Queue 2 Length: 56
At time 1131.52: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 57
At time 1131.65: Service-1 Finished, Queue 1 Length: 2235, Queue 2 Length: 56
At time 1131.66: Arrival, Queue 1 Length: 2234, Queue 2 Length: 57
At time 1131.87: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 57
At time 1131.89: Service-1 Finished, Queue 1 Length: 2235, Queue 2 Length: 56
At time 1131.89: Arrival, Queue 1 Length: 2234, Queue 2 Length: 57
At time 1132.00: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 57
At time 1132.16: Service-2 Finished, Queue 1 Length: 2235, Queue 2 Length: 56
At time 1132.24: Service-1 Finished, Queue 1 Length: 2235, Queue 2 Length: 55
At time 1132.27: Service-2 Finished, Queue 1 Length: 2234, Queue 2 Length: 56
At time 1132.31: Service-2 Finished, Queue 1 Length: 2234, Queue 2 Length: 55
At time 1132.37: Service-1 Finished, Queue 1 Length: 2234, Queue 2 Length: 54
At time 1132.51: Service-2 Finished, Queue 1 Length: 2233, Queue 2 Length: 55
At time 1132.56: Service-2 Finished, Queue 1 Length: 2233, Queue 2 Length: 54
At time 1132.62: Service-2 Finished, Queue 1 Length: 2233, Queue 2 Length: 53
At time 1132.70: Service-2 Finished, Queue 1 Length: 2233, Queue 2 Length: 52
At time 1132.71: Arrival, Queue 1 Length: 2233, Queue 2 Length: 51
At time 1132.77: Arrival, Queue 1 Length: 2234, Queue 2 Length: 51
At time 1132.79: Arrival, Queue 1 Length: 2235, Queue 2 Length: 51
At time 1133.06: Service-2 Finished, Queue 1 Length: 2236, Queue 2 Length: 51
At time 1133.23: Service-1 Finished, Queue 1 Length: 2236, Queue 2 Length: 50
At time 1133.29: Service-1 Finished, Queue 1 Length: 2235, Queue 2 Length: 51
At time 1133.38: Service-1 Finished, Queue 1 Length: 2234, Queue 2 Length: 52
At time 1133.38: Arrival, Queue 1 Length: 2233, Queue 2 Length: 53
At time 1133.47: Service-2 Finished, Queue 1 Length: 2234, Queue 2 Length: 53
At time 1133.51: Arrival, Queue 1 Length: 2234, Queue 2 Length: 52
At time 1133.60: Arrival, Queue 1 Length: 2235, Queue 2 Length: 52
At time 1133.62: Arrival, Queue 1 Length: 2236, Queue 2 Length: 52
At time 1133.70: Arrival, Queue 1 Length: 2237, Queue 2 Length: 52
At time 1133.73: Service-2 Finished, Queue 1 Length: 2238, Queue 2 Length: 52
At time 1133.83: Service-2 Finished, Queue 1 Length: 2238, Queue 2 Length: 51
At time 1133.89: Service-1 Finished, Queue 1 Length: 2238, Queue 2 Length: 50
At time 1134.22: Service-2 Finished, Queue 1 Length: 2237, Queue 2 Length: 51
At time 1134.23: Arrival, Queue 1 Length: 2237, Queue 2 Length: 50
At time 1134.37: Service-2 Finished, Queue 1 Length: 2238, Queue 2 Length: 50
At time 1134.38: Arrival, Queue 1 Length: 2238, Queue 2 Length: 49
At time 1134.41: Service-1 Finished, Queue 1 Length: 2239, Queue 2 Length: 49
At time 1134.50: Service-1 Finished, Queue 1 Length: 2238, Queue 2 Length: 50
At time 1134.71: Service-2 Finished, Queue 1 Length: 2237, Queue 2 Length: 51
At time 1134.75: Arrival, Queue 1 Length: 2237, Queue 2 Length: 50
At time 1134.78: Service-1 Finished, Queue 1 Length: 2238, Queue 2 Length: 50
At time 1134.81: Arrival, Queue 1 Length: 2237, Queue 2 Length: 51
At time 1134.84: Service-2 Finished, Queue 1 Length: 2238, Queue 2 Length: 51
At time 1134.85: Service-2 Finished, Queue 1 Length: 2238, Queue 2 Length: 50
At time 1134.91: Arrival, Queue 1 Length: 2238, Queue 2 Length: 49
At time 1134.94: Service-2 Finished, Queue 1 Length: 2239, Queue 2 Length: 49
At time 1135.06: Service-2 Finished, Queue 1 Length: 2239, Queue 2 Length: 48
At time 1135.26: Arrival, Queue 1 Length: 2239, Queue 2 Length: 47
At time 1135.39: Arrival, Queue 1 Length: 2240, Queue 2 Length: 47
At time 1135.50: Service-1 Finished, Queue 1 Length: 2241, Queue 2 Length: 47
